subbasin,precip,maat
X527,721.129642857143,9.30480076834237
X528,695.822857142857,9.90547181942618
X529,1042.92178571429,7.94445945216173
X530,1057.18964285714,7.89729924181665
X531,942.422857142857,8.78831610043523
X532,690.268928571429,9.87155637451477
X533,867.566785714286,8.55180337760525
X534,1652.02642857143,6.56684452161732
X535,705.297142857143,9.37848179397517
X536,1199.72214285714,7.83188104862426
X537,662.895357142857,9.71048996396223
X538,854.780357142857,8.57470216707837
X539,735.204642857143,9.20105929122154
X540,1850.27357142857,6.3756105274133
X541,1586.20535714286,7.01320952434421
X542,686.4625,9.57892520291296
X543,683.020357142857,9.61963351619561
X544,1206.53035714286,7.4861404323463
X545,704.659642857143,9.95732250596174
X546,1209.16714285714,7.27840569493012
X547,1064.34714285714,8.05662877621293
X548,671.887857142857,9.70850885973073
X549,684.616428571429,9.75938501866051
X550,1768.36785714286,6.73430298461177
X551,685.22,9.77984721375638
X552,1577.54071428571,7.14027016297199
X553,1611.95714285714,6.31215164469111
X554,964.257142857143,8.13438267941356
X555,683.275357142857,9.63299045587245
X556,664.520357142857,9.71056046218173
X557,701.472857142857,9.89564895522548
X558,971.6,8.42605186712008
X559,673.002142857143,9.68560134687156
X560,1532.68321428571,6.4563057917081
X561,964.343214285714,8.53139763455349
X562,854.776785714286,8.67592697806722
X563,715.736071428571,9.3571254905735
X564,650.321428571429,9.73020100681189
X565,1634.28428571429,6.78815419513864
X566,697.904285714286,9.84505951846267
X567,1474.27928571429,6.52843622009774
X568,999.688571428571,8.07663520580026
X569,742.297142857143,9.92654676087817
X570,1325.92642857143,7.25042396779057
X571,692.608571428571,9.84790441703293
X572,1702.46357142857,6.9381574727578
X573,680.693214285714,9.59345622533765
X574,1437.63285714286,6.62913206719921
X575,853.462857142857,8.74441003657246
X576,656.779285714286,9.72691202827414
X577,925.109642857143,8.37414283040861
X578,1590.62428571429,7.20204631976303
X579,1184.90892857143,7.91412662143231
X580,1138.54071428571,7.77715319527766
X581,708.236785714286,9.90800028338306
X582,1081.16857142857,7.79124705655898
X583,696.300714285714,9.81888849411312
X584,694.436428571429,9.78766121822634
X585,662.701428571429,9.71544583106092
X586,1563.92535714286,7.21854840770802
X587,1517.895,6.48678198753115
X588,1441.59214285714,6.66019397035706
X589,679.492142857143,9.66127777153979
X590,1169.56357142857,7.96437311924545
X591,954.7825,8.44515367649418
X592,657.683571428571,9.71602582795975
X593,1925.65357142857,5.99367098424818
X594,1199.135,7.77531732753735
X595,708.950714285714,9.37643133575011
X596,846.006428571429,8.68800046517596
X597,687.964642857143,9.52866223412788
X598,1180.92392857143,7.85495985317549
X599,667.416785714286,9.71023018189984
X600,1604.70964285714,6.41894847507833
X601,930.694642857143,8.21703604044357
X602,690.236071428571,9.58380633976025
X603,1730.47,6.90609922951889
X604,1174.68321428571,7.7730062344273
X605,1227.65214285714,7.56963287190016
X606,1167.57821428571,7.74600208259814
X607,862.435357142857,8.72487824687477
X608,846.396785714286,8.79416618545015
X609,1235.38892857143,7.57826030872713
X610,951.574642857143,8.27196042796189
X611,1672.81821428571,6.22912696630415
X612,700.480714285714,9.76572242629367
X613,990.579642857143,8.15386791141339
X614,1550.94857142857,7.33162233058505
X615,1610.335,6.99366739383829
X616,1649.77678571429,6.26684961716553
X617,661.987142857143,9.69714718541807
X618,852.150357142857,8.7457428058131
X619,1710.03678571429,6.11348634949151
X620,1692.085,6.98177023515447
X621,686.764642857143,9.61912819875312
X622,702.149285714286,9.84796328317988
X623,1586.29642857143,6.41076898666496
X624,847.486071428571,8.68100895062719
X625,677.11,9.64173708200999
X626,995.727857142857,8.14575390587405
X627,1163.58071428571,7.71585307657759
X628,975.946428571429,8.44729675820474
X629,1268.82571428571,7.56634110765348
X630,1689.90607142857,6.35405943023965
X631,1517.61214285714,6.57723683872831
X632,682.289642857143,9.60464810240287
X633,691.364285714286,9.63671177269471
X634,894.521071428571,8.59710138429951
X635,1571.98464285714,6.53708966400394
X636,686.172142857143,9.62067212312727
X637,838.430714285714,8.82599116433009
X638,1712.18464285714,6.96190245206549
X639,1530.33107142857,7.42055522761541
X640,702.643928571429,9.78029819116059
X641,1783.36571428571,6.67529397784265
X642,660.048928571429,9.71122965790853
X643,1517.6075,7.53907907456717
X644,906.990714285714,8.35550685466192
X645,1532.72892857143,7.42603475719953
X646,1219.59857142857,7.6944537577663
X647,682.616785714286,9.57904338701571
X648,1422.76642857143,6.78072633484115
X649,948.559642857143,8.37839893116465
X650,1517.84607142857,7.53245382727535
X651,1211.63178571429,7.72123914856758
X652,754.5525,9.81793919294643
X653,1059.44214285714,7.85539381155561
X654,1276.50892857143,7.50139147230866
X655,786.9975,9.65506813758515
X656,854.195,8.72366856212505
X657,1149.31035714286,7.47816553046101
X658,660.881785714286,9.74125933292697
X659,899.003571428571,8.44627327216537
X660,1690.94964285714,7.0163863821073
X661,890.853214285714,8.53870972217766
X662,1236.625,7.61583156352593
X663,1208.12214285714,7.30492272197449
X664,1062.29321428571,7.85453631045951
X665,1579.9925,6.63452331226674
X666,752.477857142857,9.14035953557259
X667,1528.86678571429,7.47443845508111
X668,1609.79892857143,7.04516022638564
X669,681.795,9.60730084854512
X670,864.515,8.59212808646926
X671,677.954642857143,9.68886899682397
X672,1306.98071428571,7.39681303936351
X673,949.918928571429,8.50531798252649
X674,875.3325,8.60515325141959
X675,1585.85321428571,7.27296016061938
X676,686.705714285714,9.60710052613006
X677,687.718214285714,9.6110682391753
