"subbasin","opcat_id","opcat_name"
5684,3283,"Lower Swale"
5685,3387,"Rye"
5686,3309,"Middle and Lower Ure"
5687,3387,"Rye"
5688,3387,"Rye"
5689,3489,"Upper Derwent Yorkshire"
5690,3309,"Middle and Lower Ure"
5691,3309,"Middle and Lower Ure"
5692,3309,"Middle and Lower Ure"
5693,3309,"Middle and Lower Ure"
5694,3309,"Middle and Lower Ure"
5695,3283,"Lower Swale"
5696,3387,"Rye"
5697,3507,"Upper Wharfe"
5698,3309,"Middle and Lower Ure"
5699,3387,"Rye"
5700,3489,"Upper Derwent Yorkshire"
5701,3489,"Upper Derwent Yorkshire"
5702,3283,"Lower Swale"
5703,3489,"Upper Derwent Yorkshire"
5704,3489,"Upper Derwent Yorkshire"
5705,3489,"Upper Derwent Yorkshire"
5706,3309,"Middle and Lower Ure"
5707,3387,"Rye"
5708,3489,"Upper Derwent Yorkshire"
5709,3489,"Upper Derwent Yorkshire"
5710,3507,"Upper Wharfe"
5711,3507,"Upper Wharfe"
5712,3387,"Rye"
5713,3309,"Middle and Lower Ure"
5714,3489,"Upper Derwent Yorkshire"
5715,3387,"Rye"
5716,3489,"Upper Derwent Yorkshire"
5717,3489,"Upper Derwent Yorkshire"
5718,3497,"Upper Nidd"
5719,3387,"Rye"
5720,3505,"Upper Ure"
5721,3489,"Upper Derwent Yorkshire"
5722,3489,"Upper Derwent Yorkshire"
5723,3387,"Rye"
5724,3387,"Rye"
5725,3387,"Rye"
5726,3387,"Rye"
5727,3387,"Rye"
5728,3489,"Upper Derwent Yorkshire"
5729,3489,"Upper Derwent Yorkshire"
5730,3489,"Upper Derwent Yorkshire"
5731,3387,"Rye"
5732,3387,"Rye"
5733,3387,"Rye"
5734,3387,"Rye"
5735,3309,"Middle and Lower Ure"
5736,3283,"Lower Swale"
5737,3309,"Middle and Lower Ure"
5738,3387,"Rye"
5739,3489,"Upper Derwent Yorkshire"
5740,3507,"Upper Wharfe"
5741,3309,"Middle and Lower Ure"
5742,3387,"Rye"
5743,3283,"Lower Swale"
5744,3309,"Middle and Lower Ure"
5745,3309,"Middle and Lower Ure"
5746,3309,"Middle and Lower Ure"
5747,3283,"Lower Swale"
5748,3507,"Upper Wharfe"
5749,3309,"Middle and Lower Ure"
5750,3309,"Middle and Lower Ure"
5751,3387,"Rye"
5752,3309,"Middle and Lower Ure"
5753,3387,"Rye"
5754,3283,"Lower Swale"
5755,3283,"Lower Swale"
5756,3387,"Rye"
5757,3505,"Upper Ure"
5758,3283,"Lower Swale"
5759,3489,"Upper Derwent Yorkshire"
5760,3489,"Upper Derwent Yorkshire"
5761,3283,"Lower Swale"
5762,3489,"Upper Derwent Yorkshire"
5763,3489,"Upper Derwent Yorkshire"
5764,3387,"Rye"
5765,3283,"Lower Swale"
5766,3283,"Lower Swale"
5767,3387,"Rye"
5768,3507,"Upper Wharfe"
5769,3283,"Lower Swale"
5770,3387,"Rye"
5771,3387,"Rye"
5772,3497,"Upper Nidd"
5773,3489,"Upper Derwent Yorkshire"
5774,3489,"Upper Derwent Yorkshire"
5775,3283,"Lower Swale"
5776,3489,"Upper Derwent Yorkshire"
5777,3283,"Lower Swale"
5778,3489,"Upper Derwent Yorkshire"
5779,3309,"Middle and Lower Ure"
5780,3309,"Middle and Lower Ure"
5781,3309,"Middle and Lower Ure"
